Date,LTP,High,Low,Open,Quantity,Turnover,positive,negative,neutral
3/25/2011,135,135,132,133,2560,342820,0.210508144,0.698125573,0.091366275
3/27/2011,134,135,134,135,2110,284040,0.326006847,0.506904762,0.167088344
3/28/2011,130,134,130,134,1288,169336,0.219886121,0.668332841,0.111781045
3/29/2011,127,129,127,130,1390,178760,0.145735587,0.571141196,0.283123229
3/30/2011,129,129,125,127,1261,161332,0.061427242,0.647712697,0.29086003
3/31/2011,132,134,127,129,1475,191490,0.109186003,0.666453862,0.224360116
4/4/2011,131,132,126,132,2927,378740,0.100395538,0.498140728,0.401463737
4/5/2011,128,130,126,131,1828,236055,0.104265768,0.677605355,0.21812886
4/6/2011,131,131,125,128,5221,672814,0.266418355,0.546604596,0.186977063
4/7/2011,128,130,126,131,825,105890,0.124533097,0.546728651,0.328738239
4/10/2011,128,128,126,128,1531,194797,0.106067815,0.79197723,0.101954949
4/11/2011,128,129,126,128,3030,388690,0.345036189,0.411403296,0.243560539
4/13/2011,127,127,127,128,60,7620,0.122848018,0.801913844,0.075238159
4/17/2011,125,127,125,127,1650,207460,0.488904083,0.507722953,0.003372963
4/18/2011,122,126,121,125,2651,329486,0.05728718,0.814829823,0.127882986
4/19/2011,126,128,120,122,866,107182,0.383236468,0.596211936,0.02055158
4/20/2011,126,128,125,126,3022,381832,0.334521188,0.51006562,0.155413206
4/21/2011,124,128,123,126,2040,255070,0.169357684,0.630448548,0.20019378
4/25/2011,122,124,122,124,3265,403300,0.570221051,0.275299453,0.154479531
4/26/2011,122,122,122,122,70,8540,0.295047991,0.548642088,0.156309917
4/27/2011,121,125,119,122,3367,406887,0.288576282,0.574446073,0.136977633
4/28/2011,124,125,122,121,2299,283012,0.225099922,0.672070959,0.102829125
5/2/2011,123,123,119,124,2030,245810,0.134468469,0.628293021,0.237238475
5/3/2011,127,127,123,123,1120,140240,0.006930341,0.835658308,0.157411349
5/4/2011,126,127,124,127,2484,312736,0.150129982,0.749127709,0.100742295
5/5/2011,125,126,124,126,931,116584,0.030978719,0.90263918,0.066382107
5/8/2011,124,131,121,125,4485,563061,0.106865842,0.836820514,0.056313647
5/9/2011,124,124,122,124,840,102720,0.151798219,0.844229377,0.00397241
5/10/2011,125,126,124,124,1013,126395,0.294199421,0.604820275,0.100980296
5/11/2011,129,129,126,125,400,50780,0.159131836,0.777994613,0.062873567
5/12/2011,130,131,127,129,741,95643,0.038367506,0.896100654,0.065531838
5/15/2011,131,132,130,130,3412,448352,0.022797704,0.95887546,0.018326829
5/16/2011,138,138,130,131,3382,445266,0.243028934,0.52130435,0.235666726
5/18/2011,133,136,128,138,1703,223392,0.128668469,0.623386993,0.247944545
5/19/2011,131,135,127,133,2307,304895,0.026110474,0.723583808,0.250305713
5/22/2011,131,131,128,131,1918,248828,0.423610112,0.551619811,0.02477009
5/23/2011,130,133,128,131,4281,560579,0.199728213,0.699559993,0.100711787
5/24/2011,132,132,128,130,2801,362950,0.330246645,0.511485943,0.158267396
5/25/2011,128,130,128,132,690,89350,0.258424513,0.702129202,0.039446306
5/26/2011,129,129,128,128,590,76010,0.372024396,0.477024204,0.150951396
5/30/2011,130,132,128,129,1283,167103,0.411584969,0.441262073,0.147152956
5/31/2011,132,132,126,130,1623,209534,0.434571435,0.300567398,0.264861203
6/1/2011,128,131,128,132,1013,130927,0.282613189,0.264659228,0.452727567
6/2/2011,129,130,128,128,3753,483975,0.306275134,0.605627549,0.088097316
6/5/2011,126,129,126,129,930,118940,0.381954128,0.415877387,0.202168503
6/6/2011,122,127,122,126,816,101444,0.636415652,0.329127903,0.034456431
6/7/2011,118,122,118,122,2242,268962,0.323017344,0.541031204,0.135951481
6/8/2011,118,118,116,118,270,31540,0.261735282,0.648802087,0.089462642
6/9/2011,120,120,114,118,1656,190891,0.199110247,0.679787287,0.121102469
6/12/2011,120,122,118,120,1031,123239,0.368809146,0.262894547,0.368296272
6/13/2011,117,121,117,120,1601,189667,0.183634288,0.786526406,0.02983934
